Molecule,Route,Technical Specifications,Level 1,Level 2,Level 3,Level 4,ATC Code
Ropivacaine,Inj.:,10 mg/mL (as Hydrochloride) in 10 mL Ampul (IV) ,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",Amides,N01BB09 
Rosuvastatin,Oral:,10 mg (as Calcium) Tablet *Primary Health Care,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors,C10AA07 
Rosuvastatin,Oral:,20 mg (as Calcium) Tablet *Primary Health Care,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors,C10AA07 
Sacubitril + Valsartan,Oral:,24.3 mg + 25.7 mg Tablet (Restricted use for acute hypertensive emergencies in patients less than 18 years old with extreme caution due to rapid and prolonged fall in blood pressure) ,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations",C09DX04 
Sacubitril + Valsartan,Oral:,"48.6 ,g + 51.4 mg Tablet (Restricted use for acute hypertensive emergencies in patients less than 18 years old with extreme caution due to rapid and prolonged fall in blood pressure) ",CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations",C09DX04 
Sacubitril + Valsartan,Oral:,97.2 mg + 102.8 mg Tablet (Restricted use for acute hypertensive emergencies in patients less than 18 years old with extreme caution due to rapid and prolonged fall in blood pressure) ,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations",C09DX04 
Salbutamol,Oral:,2 mg/5 mL (as Sulfate) Syrup in 60 mL *Primary Health Care,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Selective beta-2-adrenoreceptor agonists,R03AC02 
Salbutamol,Inhalation:,200 mcg/dose (as Sulfate) DPI with appropriate accompanying dispenser ,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Selective beta-2-adrenoreceptor agonists,R03AC02 
Salbutamol,Inhalation:,"100 mcg/dose (as Sulfate) x 200 actuations, MDI *Primary Health Care",RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Selective beta-2-adrenoreceptor agonists,R03AC02 
Salbutamol,Inhalation:,"100 mcg/dose (as Sulfate) x 200 actuations, Breath actuated MDI *Primary Health Care",RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Selective beta-2-adrenoreceptor agonists,R03AC02 
Salbutamol,Inhalation:,1 mg/mL (as Sulfate) Respiratory solution in 2.5 mL Unit dose (For nebulization) *Primary Health Care,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Selective beta-2-adrenoreceptor agonists,R03AC02 
Salbutamol,Inhalation:,2 mg/mL (as Sulfate) Respiratory solution in 2.5 mL Unit dose (For nebulization) *Primary Health Care,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Selective beta-2-adrenoreceptor agonists,R03AC02 
Salicylic Acid,Topical:,5% Solution in 30 mL ,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR TOPICAL USE,Other antifungals for topical use,D01AE12 
Salicylic Acid,Topical:,5% Solution in 60 mL ,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR TOPICAL USE,Other antifungals for topical use,D01AE12 
